Component 1,Component 2,Fare
3.561855396357929,3.0544591285048783,14.9
-1.059727488361633,-0.056568478294469794,15.6
-1.8646871433562362,-0.6402990697878428,12.8
-3.216615553260336,-1.1382768931909224,9.8
0.026943404215258343,0.5751292452441427,12.1
3.535681827982257,2.9884823820691198,12.1
-2.7638761920990795,-1.0811793041483848,12.1
-2.7638761920990795,-1.0811793041483848,12.1
-2.3112159366604605,-0.8578530692803683,13.4
-2.296652589268356,-0.8250910464317656,13.4
-0.3839663035710009,0.31620038068841544,12.1
5.094052563052176,4.112585478314256,14.9
-0.3252783652614357,0.5097901601173676,12.1
4.4433372615804565,3.56084557522857,11.9
0.3586122234807209,0.8133595263640817,14.9
-2.1790302630951013,-0.7673343137347783,14.9
-2.8596259468807204,-1.1682066630867014,11.9
-2.0426550194046125,-0.6054881061155517,12.1
-2.0030796930755765,-0.6032738868752326,13.4
-0.868782411451326,0.05569569499318508,13.4
2.155591162368769,1.9822894495603938,12.1
-0.8645328324832058,0.05102643720925591,12.1
-2.3025256362147513,-0.8979893658993516,14.2
-2.4785437297330843,-0.9710856485074625,13.4
-1.3280787456815628,-0.3072624899628833,13.4
-0.7679821367703653,0.07856269082480122,13.4
-3.210767586510877,-1.3251134090358243,12.1
-2.479043046381134,-0.8695493630572771,8.6
-1.4271740404197322,-0.2869291046544634,12.1
-1.355973838247514,-0.25237727756497963,12.1
-2.7544506134795914,-1.101633990092026,30.6
-1.3340506018420661,-0.28361163910168447,13.4
1.4258997291856828,1.5690700717093444,12.1
-2.7638761920990795,-1.0811793041483848,12.1
-3.304138964088117,-1.3728352867999618,13.4
-1.6684944925001313,-0.44896460074977074,7.8
0.4186490936429845,0.9129972095318202,8.1
-0.15037742448879773,0.4499104127031254,9.4
-1.9455124459304798,-0.37950546177301353,7.3
-0.923241544719472,-0.013129989828104508,7.3
-2.9857873798912204,-1.1967057026883197,7.4
-1.053235174886355,-0.011351748668758762,7.4
-2.6384856559447756,-1.059359778872315,8.0
-1.649039310006288,-0.3313184627606432,8.0
-2.6384856559447756,-1.059359778872315,7.5
-1.897196570492796,-0.4877440734031293,8.2
-1.7759771525614123,-0.42057434770869084,12.1
-2.7526971315338917,-0.9967717855213595,11.9
1.4962476080864684,1.5594280243296952,12.1
-2.6738989679075,-1.0394361582649678,9.4
2.837740479963408,2.4364029100401896,10.3
2.101552313213214,1.9885008184179849,11.9
-2.4455115007450674,-0.7634730254072459,8.6
-3.1024893097891333,-1.3267683611807748,9.6
-2.3601068304732435,-0.7207189728874124,8.6
-2.8583579182412153,-1.0406357013305338,12.1
-1.7840602552004325,-0.4515488883051884,11.9
-0.6322126339025784,0.3309014084882958,11.9
1.4962476080864684,1.5594280243296952,12.1
-0.14287152462122993,0.47989251956859025,8.3
-0.7501915568047328,0.08008898675220913,12.1
-2.5474915347552924,-0.9653738084234851,7.5
-0.6322126339025784,0.3309014084882958,12.1
-2.8583579182412153,-1.0406357013305338,12.1
-3.0555489988885034,-1.3050809828563452,12.1
-2.3601068304732435,-0.7207189728874124,8.2
-0.5185044603484681,0.19660327183311907,8.3
-2.159856630304988,-0.7661108033024031,8.7
-2.7976032561477826,-1.1026050354339867,8.2
-0.2745408793431901,0.39394563149543177,9.4
0.9712618338717264,1.3380403374838565,10.7
-0.8754650415596469,0.05750291351025595,8.8
1.4460449234568205,1.5419441183615632,8.3
-1.3271838011987298,-0.2596822104446454,10.6
-1.5665251025264852,-0.31102754034949837,8.0
-2.3699629047497868,-0.8884648665665976,8.0
0.23749318238225808,0.7742733845808267,8.2
-1.1960498900940488,-0.07419253008660222,7.8
0.9824823433447214,1.2371591701402072,7.4
-1.1960498900940488,-0.07419253008660222,7.5
-1.7124258786470388,-0.451334167787206,8.2
-0.902414994482225,0.05055488589482818,8.1
-1.8804006928039123,-0.6417739171772308,9.2
-1.3484996674622916,-0.250454885371767,8.0
-1.6269233609832412,-0.40827844008487346,9.0
-1.020653842624887,-0.011465469823518905,7.5
-1.6263140279988768,-0.4209176577073076,4.9
-1.5845131219667226,-0.35487654079676817,7.5
-2.008245379346966,-0.7175689740191432,3.5
-1.1021917988447298,-0.0846009502192878,4.2
-0.8153244068400166,0.16127333053150306,5.2
-1.1021917988447298,-0.0846009502192878,4.3
-0.7257939405841731,0.27034257709229065,7.5
